glycan_entity	glycan_entity_change	glycoprotein_entity_name	glycoprotein_gene_name	glycoprotein_mapped	glycoenzyme_entity_name	glycoenzyme_gene_name	glycoenzyme_mapped	biomarker_role	disease_name	disease_mapped	medical_intervention	organism	specimen_type	specimen_mapped	pmid	sentence_in_abstract
α2,6 sialylated N-glycans	increased level	ST6GAL1	ST6GAL1	ST6GAL1 protein, human	sialyltransferase		Sialyltransferases	diagnostic|prognostic|response	prostate cancer	Prostatic Neoplasms	sialyltransferase inhibitor P-3F<sub>AX</sub> -Neu5Ac	Humans	plasma samples		37550801	Our findings show ST6GAL1 introduces α2,6 sialylated N-glycans on prostate cancer cells and raise the possibility that prostate cancer cells can secrete active ST6GAL1 enzyme capable of remodelling glycans on the surface of other cells.
glycans	increased level	Immunoglobulin G		Biomarkers				diagnostic|monitoring|prognostic	Cardiovascular disease	Cardiovascular Diseases	anti-inflammatory therapies	Humans	blood	Humans	34495542	These studies have found significant associations of glycans as biomarkers of systemic inflammation and major CVD risk factors and events.
glycans	increased level							diagnostic|monitoring|prognostic	Coronary artery disease	Coronary Artery Disease		Humans	blood	Humans	34495542	These studies have found significant associations of glycans as biomarkers of systemic inflammation and major CVD risk factors and events.
N-glycans	altered level	glucose transporters		Polysaccharides	glycosyltransferase		Polysaccharides	diagnostic|predictive|prognostic	Diabetes Mellitus, Type 2	Diabetes Mellitus, Type 2		Humans	blood	Humans	34495541	N-glycans, complex oligosaccharide molecules covalently linked to proteins, emerged as potential markers and functional effectors of various diabetes subtypes, appearing to have the capacity to meet these requirements.
N-glycans	increased level							diagnostic|predictive|prognostic	type 2 diabetes			Humans	blood	Humans	34495541	it has been shown that N-glycome changes in patients with type 2 diabetes and that N-glycans can even identify individuals with an increased risk for its development.
N-glycans	altered level							diagnostic|predictive|prognostic	type 1 diabetes			Humans	blood	Humans	34495541	genome-wide association studies identified glycosyltransferase genes as candidate causal genes for both type 1 and type 2 diabetes.
Biomarkers	unaltered level								Biomarkers	Biomarkers					26036234	Glycan biomarker discovery.
N-glycans	altered level	serum proteins		Biomarkers|Biomarkers, Tumor|Polysaccharides				diagnostic|prognostic	liver disease	Liver Neoplasms		Humans	serum	Humans	35925813	Mass spectrometry measures of 50 N-glycans on 7 serum proteins in liver disease were integrated (as a panel) into a cancer biomarker data model.
N-glycans	altered level	serum proteins		Biomarkers|Biomarkers, Tumor|Polysaccharides				diagnostic|prognostic	hepatocellular carcinoma	Carcinoma, Hepatocellular		Humans	serum	Humans	35925813	Using the biomarker data model allows the capture of granular information, such as glycans with different levels of abundance in cirrhosis, hepatocellular carcinoma, and transplant groups.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				diagnostic|prognostic	autoimmune diseases	Autoimmune Diseases		Humans	serum	Humans	34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				diagnostic|prognostic	infectious diseases			Humans	serum	Humans	34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				diagnostic|prognostic	alloimmune diseases			Humans	serum	Humans	34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				diagnostic|prognostic	cardiometabolic diseases			Humans	serum	Humans	34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				diagnostic|prognostic	malignant diseases			Humans	serum	Humans	34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
IgG N-glycosylation	altered level	Immunoglobulin G	IGG	Immunoglobulin G				predictive|diagnostic	esophageal squamous cell carcinoma	Esophageal Squamous Cell Carcinoma		Humans	blood	Humans	36999031	Our study demonstrated that IgG N-glycans and the proposed glycan score appear to be promising predictive markers for ESCC, contributing to the early prevention of esophageal cancer.
glycans-based biomarkers	increased level							diagnostic|prognostic|predictive|response	Prostate cancer	Prostatic Neoplasms		Humans	exosomes	Exosomes	30451032	This review details the potential of glycans-based biomarkers to become diagnostic, prognostic, predictive and therapeutic PCa biomarkers with a brief description of the innovative approaches applied to glycan analysis to date.
glycans	unaltered level	Biomarkers, Tumor		Biomarkers, Tumor				diagnostic	prostate cancer	Prostatic Neoplasms		Humans	Male		37767873	How glycomic studies can impact on prostate cancer.
α1,3-fucosylation	decreased level	MEST	MEST	Biomarkers|FUT4 protein, human	fucosyltransferase IV	FUT4	Fucosyltransferases	diagnostic|predictive|response	pregnancy failure	Pregnancy|Biomarkers	infertility treatment	Humans	villus tissues	Trophoblasts|Epithelial Cells	37798282	By Lectin array, we discovered the decreased α1,3-fucosylation, especially difucosylated Lewis Y (LeY) glycan, in the villus tissues of miscarriage patients when compared with normal pregnancy women.
Glycosylation	undetermined	Biomarkers		Biomarkers				diagnostic|monitoring	Congenital Disorders of Glycosylation	Congenital Disorders of Glycosylation	limited treatment options	Humans	Neurological presentation	Humans	36255677	The chapter is devoted to neurological aspects of congenital disorders of glycosylation (CDG).
Glycosylation	undetermined	Biomarkers		Biomarkers				diagnostic|monitoring	Epilepsy	Epilepsy	limited treatment options	Humans	Neurological presentation	Humans	36255677	The chapter is devoted to neurological aspects of congenital disorders of glycosylation (CDG).
α-GalNAc Tn-antigen	increased level	Mucins		Mucins				diagnostic|monitoring	Antigens, Tumor-Associated, Carbohydrate	Antigens, Tumor-Associated, Carbohydrate		Humans	Cell Line	Cell Line|Cell Line, Tumor	31500407	We find that the extension of the immature α-GalNAc Tn-antigen to Core 1 and Core 2 glycan structures depends on the underlying peptide backbone sequence.
Fuc1Hex5HexNAc5	decreased level				PNGase F			diagnostic|prognostic	COVID-19	COVID-19		Humans	plasma	Humans	37342334	Specifically, levels of fucosylation and galactosylation decreased with increasing severity and Fuc1Hex5HexNAc5 was identified as the most suitable biomarker to stratify patients at diagnosis and distinguish mild from critical outcomes.
IgG1 glycosylation traits	altered level	Immunoglobulin G	IGG	Immunoglobulin G				risk|diagnostic	active tuberculosis	Tuberculosis		Humans	blood	Humans	38309308	Together, our results demonstrate that bulk IgG glycosylation features could be useful in stratifying the risk of LTBI reactivation and progression to ATB.
fucosylation on IgG1, IgG2 and IgG3	increased level	Immunoglobulin G	IGG	Immunoglobulin G				risk|diagnostic	latent tuberculosis infection	Latent Tuberculosis		Humans	blood	Humans	38309308	Additional glycosylation features at higher prevalence in LTBI individuals with high expression of the IFN-risk signature prior to treatment included fucosylation on IgG1, IgG2 and IgG3.
fucosylated glycan	altered level	PD-1	PDCD1	Programmed Cell Death 1 Receptor				diagnostic|monitoring	non-small-cell lung cancer	Carcinoma, Non-Small-Cell Lung		Humans	blood	Humans	38176728	we provide evidence that the concentration of fucosylated PD-1 in the blood of non-small-cell lung cancer patients varies across different stages of disease.
glycosylation of mucins	increased level	mucin 1	MUC1	Mucin-1				diagnostic	breast cancer	Breast Neoplasms		humans	human serum	Humans	34423573	These results indicate that successful differential diagnosis of primary breast cancer may be aided by detecting cancer-associated glycosylation of mucin 1 and mucin 16, and total concentration of CD63, in human serum.
glycosylation of mucins	increased level	mucin 16	MUC16	Mucins				diagnostic	breast cancer	Breast Neoplasms		humans	human serum	Humans	34423573	These results indicate that successful differential diagnosis of primary breast cancer may be aided by detecting cancer-associated glycosylation of mucin 1 and mucin 16, and total concentration of CD63, in human serum.
glycosylation of CD63	increased level	CD63		CD63				diagnostic	breast cancer	Breast Neoplasms		humans	human serum	Humans	34423573	These results indicate that successful differential diagnosis of primary breast cancer may be aided by detecting cancer-associated glycosylation of mucin 1 and mucin 16, and total concentration of CD63, in human serum.
	unaltered level	Biomarkers		Biomarkers					Liver Cirrhosis	Liver Cirrhosis	Liver Transplantation	Humans			33111474	Biomarkers for Liver Fibrosis Post-Liver Transplantation: Not As Easy As It Looks.
