glycan_entity	glycan_entity_change	glycoprotein_entity_name	glycoprotein_gene_name	glycoprotein_mapped	glycoenzyme_entity_name	glycoenzyme_gene_name	glycoenzyme_mapped	biomarker_role	disease_name	disease_mapped	medical_intervention	organism	specimen_type	specimen_mapped	pmid	sentence_in_abstract
α2,6 sialylated N-glycans	increased level				ST6GAL1		Sialyltransferases|ST6GAL1 protein, human|beta-D-Galactoside alpha 2-6-Sialyltransferase	diagnostic|prognostic|response	prostate cancer	Prostatic Neoplasms	sialyltransferase inhibitor P-3F<sub>AX</sub> -Neu5Ac	Humans	prostate cancer tissue|plasma	Prostatic Neoplasms|	37550801	A common change in tumour cell glycosylation is an increase in α2,6 sialylation of N-glycans, a modification driven by the sialyltransferase ST6GAL1.
glycans	altered level							risk|monitoring	Cardiovascular disease	Cardiovascular Diseases	anti-inflammatory therapies	Humans		Humans	34495542	These studies have found significant associations of glycans as biomarkers of systemic inflammation and major CVD risk factors and events.
glycans	altered level							monitoring	chronic inflammatory diseases		changes in lifestyle	Humans		Humans	34495542	While more limited, studies have also shown that glycans may be useful for monitoring response to anti-inflammatory therapies and may be responsive to changes in lifestyle, particularly in patients with chronic inflammatory diseases.
N-glycans	altered level							diagnostic|risk	type 2 diabetes	Diabetes Mellitus, Type 2		Humans		Humans	34495541	For instance, it has been shown that N-glycome changes in patients with type 2 diabetes and that N-glycans can even identify individuals with an increased risk for its development.
N-glycans	altered level							diagnostic	type 1 diabetes			Humans		Humans	34495541	Moreover, genome-wide association studies identified glycosyltransferase genes as candidate causal genes for both type 1 and type 2 diabetes.
N-glycans	altered level							diagnostic	type 2 diabetes	Diabetes Mellitus, Type 2		Humans		Humans	34495541	Moreover, genome-wide association studies identified glycosyltransferase genes as candidate causal genes for both type 1 and type 2 diabetes.
	undetermined														26036234	
N-glycans	altered level	serum proteins		Biomarkers, Tumor				diagnostic	cirrhosis			Humans	serum		35925813	Using the biomarker data model allows the capture of granular information, such as glycans with different levels of abundance in cirrhosis, hepatocellular carcinoma, and transplant groups.
N-glycans	altered level	serum proteins		Biomarkers, Tumor				diagnostic	hepatocellular carcinoma	Carcinoma, Hepatocellular		Humans	serum		35925813	Using the biomarker data model allows the capture of granular information, such as glycans with different levels of abundance in cirrhosis, hepatocellular carcinoma, and transplant groups.
N-glycans	altered level	serum proteins		Biomarkers, Tumor				diagnostic	transplant groups			Humans	serum		35925813	Using the biomarker data model allows the capture of granular information, such as glycans with different levels of abundance in cirrhosis, hepatocellular carcinoma, and transplant groups.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				risk|prognostic	autoimmune diseases	Autoimmune Diseases		Humans	serum		34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				risk|prognostic	alloimmune diseases			Humans	serum		34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				risk|prognostic	infectious diseases			Humans	serum		34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				risk|prognostic	cardiometabolic diseases			Humans	serum		34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
IgG glycosylation	altered level	Immunoglobulin G		Immunoglobulin G				risk|prognostic	malignant diseases			Humans	serum		34687018	Changes in immunoglobulin G (IgG) glycosylation pattern have been observed in a vast array of auto- and alloimmune, infectious, cardiometabolic, malignant, and other diseases.
