source_term	target_term	source_term_frequency	glytoucan_ac	mapping_flag	mapping_score
N-glycans	N-linked glycans	213	G78059CC	gsd_strict	2
N-glycosylation	N-linked glycosylation	100		gsd_strict	2
N-glycan	N-linked glycans	82	G78059CC	gsd_strict	2
glycosylation	glycosylation	73		gsd_strict	2
Tn antigen	Tn antigen	71	G57321FI	gsd_strict	2
N-linked glycans	N-linked glycans	60	G78059CC	gsd_strict	2
sialic acid	Sialic acids	58		gsd_strict	2
fucosylation	fucosylation	51		gsd_strict	2
N-linked glycosylation	N-linked glycosylation	51		gsd_strict	2
Tn	Tn antigen	47	G57321FI	gsd_strict	2
sialylation	sialylation	44		gsd_strict	2
O-glycans	O-linked glycans	43		gsd_strict	2
O-glycosylation	O-linked glycosylation	34		gsd_strict	2
Lewis X	Lewis x	34	G00051MO	gsd_strict	2
MUC1		32			0
N-linked oligosaccharides	N-linked glycans	31	G78059CC	gsd_strict	2
sialyl Lewis X	Sialyl Lewis x	28	G00054MO	gsd_strict	2
GlycA		27			0
Thomsen-Friedenreich antigen	T antigen	26	G00031MO	gsd_strict	2
mannose	Mannose	25		gsd_strict	2
M2BPGi		24			0
O-linked glycans	O-linked glycans	23		gsd_strict	2
fucose		22			0
glycans	Glycans	21		gsd_strict	2
sialyl-Tn	Sialyl-Tn antigen	21	G36123IU	gsd_strict	2
GalNAc	GalNAc	20		gsd_strict	2
sialylated glycans		19			0
fucosylated glycans		19			0
N-linked glycan	N-linked glycans	19	G78059CC	gsd_strict	2
O-glycan	O-linked glycans	18		gsd_strict	2
core fucosylation	Core-fucosylation	18		gsd_strict	2
T antigen	T antigen	17	G00031MO	gsd_strict	2
sialic acids	Sialic acids	16		gsd_strict	2
HNK-1	HNK-1	15	G54406UD	gsd_strict	2
T	T antigen	15	G00031MO	gsd_strict	2
galactosylation	galactosylation	14		gsd_strict	2
sialyl Lewis x	Sialyl Lewis x	14	G00054MO	gsd_strict	2
O-linked oligosaccharides	O-linked glycans	14		gsd_strict	2
Lewis x	Lewis x	14	G00051MO	gsd_strict	2
hyperglycosylated hCG		13			0
bisecting GlcNAc		13			0
Lewis(x)	Lewis x	13	G00051MO	gsd_strict	2
N-acetyllactosamine		13			0
sialic acid residues		11			0
N-linked carbohydrates	N-linked glycans	11	G78059CC	gsd_strict	2
sialyl-Lewis X	Sialyl Lewis x	10	G00054MO	gsd_strict	2
glycated albumin		10			0
sialyl Lewis x (sLe(x))	Sialyl Lewis x	10	G00054MO	gsd_strict	2
Globo H	Globo H	10		gsd_strict	2
N-glycan branching		10			0
STn	Sialyl-Tn antigen	10	G36123IU	gsd_strict	2
O-GlcNAc	O-GlcNAc	10	G49108TO	gsd_strict	2
SSEA-4	SSEA-4	10	G84263XI	gsd_strict	2
oligosaccharides	Glycans	10		gsd_strict	2
N-glycosylated	N-linked glycosylation	10		gsd_strict	2
sialyl-Lewis x	Sialyl Lewis x	9	G00054MO	gsd_strict	2
N-glycopeptides		9			0
O-linked glycosylation	O-linked glycosylation	9		gsd_strict	2
N-acetylgalactosamine	GalNAc	9		gsd_strict	2
N-acetylglucosamine	GlcNAc	9		gsd_loose	2
sialoglycans		9			0
core fucose	Core fucose	8		gsd_strict	2
fucosylated N-glycans		8			0
fructosamine		8			0
sialyl Le(x)	Sialyl Lewis x	8	G00054MO	gsd_strict	2
Le(x)	Lewis x	8	G00051MO	gsd_strict	2
galactose		8			0
polysialic acid		8			0
glycan	Glycans	7		gsd_strict	2
glycation		7			0
sialyl-Tn antigen	Sialyl-Tn antigen	7	G36123IU	gsd_strict	2
